time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/std,train/n_updates,train/explained_variance,train/approx_kl
9,9044,40,539.0599919100001,132.83,81920,943.9801635742188,0.2,-1.428038015589118,0.042822265625,-0.008775530962157062,0.0003,2788.0393573760985,0.4938109517097473,5790,0.8683719784021378,0.005485572
9,9272,41,513.4706446499999,134.32,83968,609.2977905273438,0.2,-1.4259295601397752,0.014892578125,-0.005017801758367568,0.0003,6063.330290603638,0.49430662393569946,5800,0.8415691405534744,0.003275203
9,9497,42,467.7530416099999,132.7,86016,993.2584838867188,0.2,-1.426322652772069,0.040771484375,-0.006382752308854833,0.0003,3623.0900089263914,0.4935119152069092,5810,0.9215691313147545,0.007894893
9,9718,43,462.24085959999996,141.08,88064,474.11480712890625,0.2,-1.423102068156004,0.04287109375,-0.008402755635324865,0.0003,3833.5794122695925,0.4931882619857788,5820,0.9256241396069527,0.006484382
9,9946,44,497.82450453999996,135.71,90112,735.1674194335938,0.2,-1.4205298215150832,0.0474609375,-0.008270837954478338,0.0003,3684.99032497406,0.49197110533714294,5830,0.8358673602342606,0.0070449077
9,10169,45,517.5803166200001,128.51,92160,199.5284423828125,0.2,-1.4143693566322326,0.1302734375,-0.014845670110662467,0.0003,3591.7528038024902,0.4906948208808899,5840,0.9387522079050541,0.010446919
9,10396,46,488.90467249000017,131.26,94208,113.13279724121094,0.2,-1.4096387401223183,0.099169921875,-0.011926217592554167,0.0003,624.4592590332031,0.4884575605392456,5850,0.971986249089241,0.009783066
9,10620,47,461.32973799,138.74,96256,255.02464294433594,0.2,-1.4027808062732219,0.074755859375,-0.0077063064818503335,0.0003,4432.767570304871,0.48863282799720764,5860,0.8793708980083466,0.006216523
9,10850,48,457.0615069400002,134.96,98304,732.0198974609375,0.2,-1.407697508111596,0.084716796875,-0.0074536905041895805,0.0003,2464.486069869995,0.4902573823928833,5870,0.9418706856667995,0.008520539
9,11076,49,480.5250754599999,126.76,100352,3375.858642578125,0.2,-1.4097507629543542,0.077294921875,-0.008665087814733852,0.0003,6414.177354049682,0.49001598358154297,5880,0.9237929731607437,0.0068565267
9,11300,50,490.16529904000004,128.49,102400,1148.4039306640625,0.2,-1.409324076026678,0.058740234375,-0.011368608759948984,0.0003,5108.242656517029,0.48990267515182495,5890,0.916067011654377,0.006104867
9,11526,51,466.20753109000003,131.13,104448,250.2676239013672,0.2,-1.406651022657752,0.09638671875,-0.009902412901283242,0.0003,1604.2666799545289,0.48858004808425903,5900,0.9354772716760635,0.010893347
9,11749,52,459.66247292,133.58,106496,174.16783142089844,0.2,-1.3891784712672233,0.133349609375,-0.010970858982182108,0.0003,638.8318312883378,0.4817389249801636,5910,0.9847046760842204,0.010690399
9,11977,53,573.71307279,128.57,108544,401.4945983886719,0.2,-1.372355330735445,0.100634765625,-0.006860105687519535,0.0003,3201.624560880661,0.4802553951740265,5920,0.9564406983554363,0.012802166
9,12202,54,590.4203641900001,131.1,110592,88.99935150146484,0.2,-1.3723635140806436,0.1576171875,-0.014693760051159188,0.0003,249.85210118293762,0.48145806789398193,5930,0.9918570406734943,0.016142508
9,12431,55,589.76932223,134.82,112640,690.144287109375,0.2,-1.376939954608679,0.0681640625,-0.007295033996342681,0.0003,4516.015888881683,0.4829363226890564,5940,0.8767838776111603,0.0074439165
9,12658,56,540.8411233800001,127.21,114688,1962.0396728515625,0.2,-1.3778037138283252,0.0595703125,-0.00959127762762364,0.0003,2341.8357149124145,0.48146045207977295,5950,0.9274029806256294,0.010427879
9,12883,57,520.15141936,131.25,116736,3849.1728515625,0.2,-1.3714268781244754,0.03798828125,-0.007625595893478021,0.0003,7619.110248947143,0.4799862504005432,5960,0.7995995283126831,0.005571303
9,13107,58,499.68201284,127.42,118784,1828.4244384765625,0.2,-1.3671855084598064,0.018896484375,-0.006641148190828972,0.0003,6468.5965587615965,0.47951287031173706,5970,0.8631970882415771,0.0040641287
9,13336,59,447.6187432499999,129.92,120832,959.1270751953125,0.2,-1.3642877340316772,0.033935546875,-0.008232717512873933,0.0003,4834.694649124145,0.4789426326751709,5980,0.9129354953765869,0.005112593
9,13561,60,434.15451134999995,127.94,122880,2035.4683837890625,0.2,-1.3652535930275917,0.049072265625,-0.0076256413973169405,0.0003,6865.008642196655,0.47973471879959106,5990,0.8916531801223755,0.0043541864
9,13785,61,426.90115441999995,131.71,124928,944.3953857421875,0.2,-1.3682189408689738,0.076123046875,-0.006357705140544567,0.0003,5246.851371574402,0.4799532890319824,6000,0.938726719468832,0.008418154
9,14011,62,472.54613187999996,131.93,126976,792.6392211914062,0.2,-1.3689222302287818,0.04423828125,-0.007816477803862654,0.0003,4643.524294662476,0.4804319739341736,6010,0.9026586413383484,0.005605329
9,14237,63,500.90587606,134.05,129024,1147.0430908203125,0.2,-1.3700113546103239,0.047021484375,-0.006663604403729551,0.0003,6688.306846237183,0.4808088541030884,6020,0.8517755717039108,0.004392096
9,14462,64,529.83559896,130.19,131072,431.74932861328125,0.2,-1.3659414254128932,0.057177734375,-0.011491607534117066,0.0003,5262.394927215576,0.4779541492462158,6030,0.9149137139320374,0.009707359
9,14685,65,537.27984163,135.04,133120,208.01039123535156,0.2,-1.3542313911020756,0.07568359375,-0.006077638186980039,0.0003,3530.004916858673,0.47563469409942627,6040,0.941264595836401,0.008739106
9,14907,66,545.0008559700001,142.01,135168,417.4717712402344,0.2,-1.3386792603880167,0.125,-0.011416455113794655,0.0003,1668.024359512329,0.46996739506721497,6050,0.9621462114155293,0.013601754
9,15134,67,531.1004053099999,139.21,137216,111.21308898925781,0.2,-1.3260047238320112,0.1201171875,-0.0078025139140663665,0.0003,981.882016468048,0.4697391986846924,6060,0.9619233943521976,0.009679592
9,15355,68,474.08881081,140.98,139264,2879.33349609375,0.2,-1.3263806752860545,0.0533203125,-0.0061524458200437945,0.0003,6258.674695968628,0.47053712606430054,6070,0.8495664149522781,0.004705864
9,15572,69,476.6778816500001,155.27,141312,1981.900390625,0.2,-1.3270651865750551,0.03037109375,-0.006530431620194577,0.0003,6361.613548278809,0.469670832157135,6080,0.8861326277256012,0.004912652
9,15797,70,450.96374669,155.29,143360,1812.8961181640625,0.2,-1.3237745430320502,0.053564453125,-0.010080412060779054,0.0003,5401.381494522095,0.46897464990615845,6090,0.8322902172803879,0.006041627
9,16020,71,409.8577048100001,156.09,145408,1160.8087158203125,0.2,-1.3216454651206733,0.066162109375,-0.008835366937273648,0.0003,8879.323740386963,0.46860194206237793,6100,0.8439061939716339,0.0071549835
9,16243,72,428.15040644,160.79,147456,3565.1064453125,0.2,-1.3185461096465587,0.021923828125,-0.007340288782143034,0.0003,8780.786306381226,0.4678249955177307,6110,0.8336948752403259,0.0048376927
9,16464,73,390.45071398,160.04,149504,164.60569763183594,0.2,-1.3121428806334734,0.13232421875,-0.012974335544276983,0.0003,636.9038770198822,0.46562331914901733,6120,0.978393692523241,0.011493843
9,16687,74,393.37664906000003,160.43,151552,1024.8421630859375,0.2,-1.302983457222581,0.06357421875,-0.012109064075048082,0.0003,6264.667599487305,0.4634595513343811,6130,0.8525349348783493,0.008380696
9,16913,75,418.90145115,160.28,153600,214.70538330078125,0.2,-1.291828728094697,0.1048828125,-0.013225790151045658,0.0003,1223.805841588974,0.4598938226699829,6140,0.9673443473875523,0.011737561
9,17138,76,457.02430615,150.64,155648,150.9032440185547,0.2,-1.285616611689329,0.132373046875,-0.014300041712704114,0.0003,954.4418015480042,0.46205297112464905,6150,0.9662417024374008,0.013933867
9,17362,77,468.23905593999996,147.52,157696,249.17108154296875,0.2,-1.292186288908124,0.092041015625,-0.008684037311468273,0.0003,1697.2912048816681,0.46148669719696045,6160,0.9537997618317604,0.0102813095
9,17589,78,499.3332152800001,144.25,159744,321.48834228515625,0.2,-1.286889675632119,0.05888671875,-0.00790318110739463,0.0003,2678.4658912658692,0.46031051874160767,6170,0.9433155991137028,0.0060034096
9,17815,79,481.23663184,139.58,161792,1382.8331298828125,0.2,-1.2797563526779414,0.041650390625,-0.009274851193185895,0.0003,5488.079479026795,0.457896888256073,6180,0.8957379460334778,0.007909125
9,18045,80,491.6524638,128.17,163840,196.74761962890625,0.2,-1.2663448173552752,0.107861328125,-0.008485123899299651,0.0003,1254.9833045005798,0.4542725086212158,6190,0.9576816819608212,0.017508525
9,18269,81,493.8818333699999,130.7,165888,1180.404052734375,0.2,-1.2544855628162623,0.05400390625,-0.009016604474163614,0.0003,5127.888647460937,0.4527273178100586,6200,0.9251873940229416,0.0052533336
9,18495,82,447.91838339000003,129.17,167936,705.7315063476562,0.2,-1.2475261699408293,0.081494140625,-0.009575419446628075,0.0003,2258.7861790657043,0.45058274269104004,6210,0.9622859433293343,0.0071130837
9,18721,83,464.58895173999997,129.26,169984,662.817138671875,0.2,-1.2395258270204068,0.092236328125,-0.009797196873114445,0.0003,1890.166588306427,0.4498358368873596,6220,0.9583740010857582,0.009251931
9,18946,84,499.52141384000004,127.17,172032,102.0242691040039,0.2,-1.2294365283101798,0.164501953125,-0.012931637089059223,0.0003,548.9283108472824,0.445076584815979,6230,0.9801060743629932,0.017004084
9,19175,85,469.58796187,125.67,174080,393.7754211425781,0.2,-1.2072808280587197,0.1443359375,-0.007570346936699934,0.0003,1609.479845905304,0.4406173825263977,6240,0.9523513652384281,0.01691886
9,19397,86,483.46961687000004,132.55,176128,271.053466796875,0.2,-1.193604390695691,0.082958984375,-0.01023931315576192,0.0003,3687.0845690727233,0.43926891684532166,6250,0.9379022009670734,0.0076139653
9,19624,87,471.59070357,130.63,178176,3022.223876953125,0.2,-1.191093012318015,0.061669921875,-0.011681443598354236,0.0003,3427.0937711715696,0.4389868378639221,6260,0.9065076783299446,0.00662548
9,19852,88,482.17485910999994,128.96,180224,4748.36865234375,0.2,-1.1887517269700765,0.020751953125,-0.007848934750654735,0.0003,8860.419877243043,0.4383869171142578,6270,0.8673052191734314,0.0035174317
9,20075,89,487.23376450999996,133.04,182272,1015.8743286132812,0.2,-1.1865108411759138,0.07060546875,-0.010574909872957505,0.0003,4544.899706459046,0.4377719759941101,6280,0.9423022642731667,0.007451471
9,20299,90,431.2634759,133.98,184320,58.8232536315918,0.2,-1.179169999435544,0.17001953125,-0.007726800124510191,0.0003,516.6806722402573,0.4361664652824402,6290,0.980590732768178,0.02508395
9,20529,91,465.0376817000001,130.06,186368,333.0273132324219,0.2,-1.1762190412729978,0.157421875,-0.0029880473812227137,0.0003,2838.0601592063904,0.4355853199958801,6300,0.9355788975954056,0.010335033
9,20754,92,523.72044171,131.96,188416,153.2032012939453,0.2,-1.1709478173404932,0.112109375,-0.009745165215281303,0.0003,1715.6037200450896,0.43389105796813965,6310,0.9577839523553848,0.012718682
