rollout/ep_len_mean,time/fps,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,train/learning_rate,train/loss,train/n_updates
231.65,9,0.05,-1206.6210081899999,852,19346,182743,0.0001,0.0864555835723877,33185
228.53,9,0.05,-1207.29407411,856,19422,183453,0.0001,0.12187933176755905,33363
228.09,9,0.05,-1199.38540457,860,19494,184119,0.0001,0.12425398826599121,33529
228.09,9,0.05,-1192.4688402800002,864,19558,184707,0.0001,0.353920042514801,33676
228.55,9,0.05,-1186.60945588,868,19653,185605,0.0001,0.06403082609176636,33901
220.85,9,0.05,-1139.08243683,872,19729,186317,0.0001,0.1579330861568451,34079
221.95,9,0.05,-1130.0579299199999,876,19878,187761,0.0001,14.769743919372559,34440
221.55,9,0.05,-1136.5030989699999,880,19954,188463,0.0001,0.05934479832649231,34615
222.53,9,0.05,-1139.56238769,884,20036,189239,0.0001,0.10288645327091217,34809
215.5,9,0.05,-1088.42576572,888,20125,190072,0.0001,1.1416471004486084,35017
227.81,9,0.05,-1103.73643393,892,20309,191861,0.0001,31.74595832824707,35465
233.59,9,0.05,-1108.8229688600002,896,20423,192949,0.0001,0.21699945628643036,35737
230.96,9,0.05,-1080.4361213500001,900,20489,193564,0.0001,0.2521509826183319,35890
229.52,9,0.05,-1073.40250738,904,20581,194424,0.0001,0.0633384957909584,36105
228.27,9,0.05,-1018.11363063,908,20686,195432,0.0001,0.17019188404083252,36357
233.01,9,0.05,-1054.99046444,912,20825,196768,0.0001,0.22983013093471527,36691
225.25,9,0.05,-1021.4381038399999,916,20899,197454,0.0001,0.35521137714385986,36863
224.71,9,0.05,-1013.2860322699999,920,20942,197838,0.0001,0.12990030646324158,36959
228.5,9,0.05,-1052.1663797500003,924,21042,198780,0.0001,0.08615037798881531,37194
228.66,9,0.05,-1051.19031448,928,21087,199186,0.0001,0.09053968638181686,37296
224.83,9,0.05,-1062.9170409600001,932,21169,199952,0.0001,0.08375698328018188,37487
225.03,9,0.05,-1067.76291389,936,21247,200676,0.0001,0.18443167209625244,37668
