time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/loss,train/n_updates
103,720.91,-2157.57959442,9,21710,210944,0.004183087,10163.675671005249,0.0003,-2.0261004872620108,0.02109375,-0.005057522325660102,0.2,0.23079335689544678,4182.40869140625,1020
104,719.49,-2122.5444243399998,9,21920,212992,0.007874346,226.1653701543808,0.0003,-2.004214571043849,0.0517578125,-0.01863592031004373,0.2,0.9139263704419136,86.93025207519531,1030
105,724.11,-2131.9340911100003,9,22130,215040,0.007316244,2868.270025682449,0.0003,-1.99333918094635,0.0623046875,-0.008342195497243665,0.2,0.6618146598339081,241.6044921875,1040
106,721.99,-2083.3811443300006,9,22340,217088,0.00820413,482.140624165535,0.0003,-2.004099916666746,0.062646484375,-0.013950900915369857,0.2,0.6591478586196899,157.00877380371094,1050
107,728.38,-2089.8231032800004,9,22549,219136,0.00395343,4581.244825601578,0.0003,-2.0883693527430296,0.02275390625,-0.0072982926823897286,0.2,0.7006730139255524,117.13570404052734,1060
108,733.44,-2090.8138271299995,9,22758,221184,0.009106336,259.4508442640305,0.0003,-2.11975811123848,0.077734375,-0.018609199035563507,0.2,0.8065179288387299,106.63390350341797,1070
109,735.37,-2078.3426894,9,22969,223232,0.012767285,71.45275658369064,0.0003,-1.9767373971641065,0.121875,-0.02360687926702667,0.2,-0.09662699699401855,13.677369117736816,1080
110,740.64,-2036.7308223199998,9,23178,225280,0.004052336,5390.892017316818,0.0003,-1.943187429383397,0.017333984375,-0.004539603387820534,0.2,0.6104423701763153,504.07403564453125,1090
111,747.23,-2020.05953698,9,23388,227328,0.0043197544,4268.36528058052,0.0003,-1.9739213209599256,0.0111328125,-0.0059041626751422886,0.2,0.5362820029258728,392.7190856933594,1100
112,756.0,-2024.5254629199997,9,23597,229376,0.0046380498,570.362984418869,0.0003,-2.043418199196458,0.01884765625,-0.010147000938013661,0.2,0.6785025298595428,73.75987243652344,1110
113,756.0,-2032.2287443100001,9,23806,231424,0.0074212523,113.94434521198272,0.0003,-1.9638396829366684,0.0587890625,-0.015357887250138447,0.2,0.9293069764971733,32.179203033447266,1120
114,765.01,-2043.1745275500004,9,24015,233472,0.010337441,58.61894801259041,0.0003,-1.9729731667786836,0.1033203125,-0.0247452574869385,0.2,0.8612881600856781,12.088963508605957,1130
115,751.85,-2053.26607131,9,24226,235520,0.011450249,45.90933385193348,0.0003,-1.948686994612217,0.107861328125,-0.024260333992424422,0.2,0.9115870073437691,19.61859703063965,1140
116,746.97,-2044.18179876,9,24438,237568,0.005757155,602.3084803581238,0.0003,-1.9585144493728877,0.035546875,-0.0121392002212815,0.2,0.8909718841314316,200.934814453125,1150
117,744.34,-2083.0784475900005,9,24648,239616,0.00638485,455.3308677315712,0.0003,-1.9436265878379344,0.0544921875,-0.011232942754577379,0.2,0.9486332572996616,52.18628692626953,1160
118,757.19,-2102.0132417300006,9,24857,241664,0.01108155,654.3425036191941,0.0003,-1.9662488628178836,0.08251953125,-0.019490137245156802,0.2,0.7217917442321777,33.97416305541992,1170
119,729.63,-2014.61781977,9,25070,243712,0.013509486,120.46631288528442,0.0003,-2.0298251029103995,0.109130859375,-0.02407051459013019,0.2,-0.09116363525390625,21.983631134033203,1180
120,728.39,-2020.7691880300001,9,25279,245760,0.0051181596,830.9688293933868,0.0003,-1.8248495265841485,0.01943359375,-0.007803329822490923,0.2,0.762184202671051,287.64715576171875,1190
121,736.56,-2024.1517719399997,9,25488,247808,0.0060330792,403.0991533041,0.0003,-1.879636610299349,0.052392578125,-0.011707830842351542,0.2,0.8002288937568665,42.70267105102539,1200
122,738.92,-2023.0304567699998,9,25699,249856,0.008748168,107.44125410318375,0.0003,-1.8440563470125197,0.08447265625,-0.019937388802645728,0.2,0.8879829570651054,28.551538467407227,1210
123,724.4,-1984.17531288,9,25909,251904,0.0039970865,5324.927581214904,0.0003,-1.8675148334354161,0.020263671875,-0.007452174695208669,0.2,0.42322009801864624,5397.86474609375,1220
124,731.89,-2000.9371290999998,9,26118,253952,0.00718541,375.7015158414841,0.0003,-1.9782463777810335,0.058251953125,-0.014773482939926908,0.2,0.8761125728487968,92.4913558959961,1230
125,729.68,-1993.89961665,9,26328,256000,0.009896577,121.69900512695312,0.0003,-1.994946314021945,0.07724609375,-0.019896531863196287,0.2,0.9692819695919752,30.45791244506836,1240
126,729.68,-1965.2006894600001,9,26537,258048,0.0042984504,250.77718110084533,0.0003,-1.713497157767415,0.01982421875,-0.008385852845094632,0.2,0.6861168146133423,77.0114974975586,1250
127,731.67,-1946.69257113,9,26746,260096,0.0070647183,150.62827998399734,0.0003,-1.8389194689691066,0.055029296875,-0.014417823473922908,0.2,0.9543606005609035,49.31034851074219,1260
128,731.67,-1961.54723459,9,26955,262144,0.004787639,3424.48741338253,0.0003,-1.830951415002346,0.03525390625,-0.0068300976243335755,0.2,0.6642984747886658,214.5702667236328,1270
