train/n_updates,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/episodes,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/time_elapsed
722302,-219.58181462000002,9,22803,172,0.28185269236564636,292.24176025390625,-0.06570807099342346,140.69,272.7626647949219,0.0003,2502
722912,-244.60468867,9,23413,176,0.28501787781715393,308.0331115722656,-0.28655678033828735,141.09,297.5544128417969,0.0003,2568
723212,-203.97817919000005,9,23713,180,0.2827538549900055,303.6192626953125,0.09058548510074615,133.03,292.33721923828125,0.0003,2603
723806,-197.57068951999997,9,24307,184,0.2742649018764496,266.4020080566406,-0.22452861070632935,132.19,302.5912780761719,0.0003,2668
724113,-154.93222909000002,9,24614,188,0.27594372630119324,298.9234619140625,-0.229038268327713,130.44,365.41998291015625,0.0003,2703
724753,-121.19701416999999,9,25254,192,0.2765391170978546,250.3975067138672,-0.21891187131404877,132.26,299.6921081542969,0.0003,2772
725074,-106.56014787,9,25575,196,0.27449482679367065,248.72064208984375,-0.1089230328798294,127.59,244.4313507080078,0.0003,2810
725480,-90.53819298,9,25981,200,0.2691493332386017,287.58892822265625,-0.17324957251548767,124.67,244.51101684570312,0.0003,2856
725998,-131.24495902,9,26499,204,0.2729494869709015,300.935791015625,0.18922550976276398,125.69,305.95794677734375,0.0003,2913
726590,-112.92119713999999,9,27091,208,0.27248722314834595,283.08172607421875,0.25950339436531067,125.47,378.5086669921875,0.0003,2977
727050,-110.03631013,9,27551,212,0.2686116695404053,330.62750244140625,-0.08173225075006485,123.14,361.4870910644531,0.0003,3028
727501,-65.75240007999999,9,28002,216,0.2672170400619507,234.25718688964844,0.14938560128211975,121.18,400.3381042480469,0.0003,3079
728203,-84.77220588999998,9,28704,220,0.26845598220825195,214.33334350585938,0.16722360253334045,124.04,305.4319763183594,0.0003,3154
728945,-120.86486640999999,9,29446,224,0.27192336320877075,269.2771301269531,-0.1257423758506775,126.45,297.7626647949219,0.0003,3233
729475,-120.84069703000002,9,29976,228,0.2683224081993103,264.6318359375,-0.40086978673934937,125.63,252.535888671875,0.0003,3291
729991,-109.11329329000002,9,30492,232,0.2663928270339966,291.2820129394531,0.03290986269712448,125.25,362.01708984375,0.0003,3348
730342,-136.32534397,9,30843,236,0.26239433884620667,276.35205078125,0.0764373391866684,124.54,347.00860595703125,0.0003,3388
