time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/loss,train/clip_fraction,train/std,train/value_loss,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl,train/entropy_loss
110,100.27,23616,9,885.94115817,225280,-0.0022648778889561073,0.2,14946.728515625,0.04208984375,0.8347153067588806,25327.422912597656,0.3559504747390747,1090,0.0003,0.003980417,-2.481164790689945
111,94.46,23854,9,891.7634365199999,227328,-0.004955613031052053,0.2,6102.08935546875,0.054931640625,0.8354008197784424,26639.410870361327,0.3946865200996399,1100,0.0003,0.0065345583,-2.472019299864769
112,91.58,24089,9,895.58369298,229376,-0.002323901338968426,0.2,17996.27734375,0.033984375,0.8358758687973022,28326.87518310547,0.44235849380493164,1110,0.0003,0.0050815665,-2.4732234984636308
113,91.05,24323,9,895.76835836,231424,-0.0030884711217368022,0.2,16045.7509765625,0.0396484375,0.8297214508056641,25858.930236816406,0.40257370471954346,1120,0.0003,0.0047642784,-2.466483709216118
114,92.69,24554,9,906.8745068000001,233472,-0.006187698984285816,0.2,7728.109375,0.06044921875,0.820476770401001,23904.554997253417,0.40920329093933105,1130,0.0003,0.007055413,-2.450529968738556
115,90.04,24793,9,910.11111033,235520,-0.0028786751470761375,0.2,12429.080078125,0.03125,0.8208925127983093,21352.979864501955,0.44148755073547363,1140,0.0003,0.0026750288,-2.4376048550009726
116,90.08,25030,9,909.0166462899999,237568,-0.004694953144644387,0.2,10650.9404296875,0.031689453125,0.8192105293273926,25133.02507019043,0.48388248682022095,1150,0.0003,0.0032919399,-2.4368949599564074
117,86.16,25269,9,912.50751264,239616,-0.005153421853901818,0.2,6283.73828125,0.06611328125,0.8172364234924316,24056.991268920898,0.46057015657424927,1160,0.0003,0.006249998,-2.429774497449398
118,81.54,25508,9,919.0650845700002,241664,-0.0014857770438538864,0.2,10928.4482421875,0.013232421875,0.8118194341659546,25057.773443603517,0.501508891582489,1170,0.0003,0.0036716608,-2.420241782069206
119,83.52,25742,9,915.09980796,243712,-0.0030204756127204745,0.2,13220.6787109375,0.033740234375,0.8028882741928101,23894.042543029784,0.43447554111480713,1180,0.0003,0.0075605614,-2.4001770287752153
120,83.65,25978,9,915.1250873800001,245760,-0.0038702821300830694,0.2,6957.75830078125,0.02646484375,0.79044508934021,20703.52303619385,0.48658645153045654,1190,0.0003,0.0034499844,-2.3742118775844574
121,85.69,26216,9,912.0568236999998,247808,-0.004622619136353023,0.2,14298.2373046875,0.04267578125,0.7877137064933777,21181.275184631348,0.47410500049591064,1200,0.0003,0.0049023996,-2.352691303193569
122,85.16,26455,9,910.9213922199998,249856,-0.004429457226069644,0.2,8904.2666015625,0.041796875,0.7847987413406372,22231.30803527832,0.5121972262859344,1210,0.0003,0.0049438216,-2.344502830505371
123,81.89,26694,9,915.64279265,251904,-0.004424469548393972,0.2,6733.041015625,0.052099609375,0.7791765928268433,22063.759434509277,0.5493656396865845,1220,0.0003,0.0046596923,-2.3357984125614166
124,79.11,26932,9,917.0179852799998,253952,-0.002159244503127411,0.2,6511.259765625,0.03486328125,0.7748824954032898,22012.64298248291,0.5105294585227966,1230,0.0003,0.003998895,-2.3219440072774886
125,79.61,27170,9,915.78601568,256000,-0.005792136811942327,0.2,5383.08837890625,0.061328125,0.7672771215438843,20216.47953338623,0.5589208006858826,1240,0.0003,0.00726817,-2.3068526104092597
126,81.25,27409,9,913.53317303,258048,-0.003930875286459923,0.2,9752.7900390625,0.054345703125,0.767687976360321,20064.11866760254,0.48681700229644775,1250,0.0003,0.005159652,-2.2958367876708508
127,80.4,27649,9,913.6844844599998,260096,-0.005332121520768851,0.2,6253.34619140625,0.049853515625,0.7665282487869263,19083.712774658205,0.5781945586204529,1260,0.0003,0.006483856,-2.2920283608138563
128,84.08,27883,9,909.3840357499998,262144,-0.0020509787878836504,0.2,15618.8818359375,0.054150390625,0.7612860202789307,19263.608375549316,0.5587183833122253,1270,0.0003,0.0045460043,-2.286079557240009
129,83.89,28122,9,908.8321663599999,264192,-0.004212824250862468,0.2,4232.880859375,0.06103515625,0.751977801322937,15472.091748046874,0.5841517746448517,1280,0.0003,0.0048589054,-2.266948705166578
130,83.72,28358,9,909.8335750099999,266240,-0.0013672596192918717,0.2,11621.41015625,0.044091796875,0.748449981212616,18244.113874816896,0.5740924775600433,1290,0.0003,0.004920532,-2.249638517946005
131,84.07,28597,9,910.2776924099999,268288,-0.004003706769435666,0.2,13048.283203125,0.051220703125,0.7389228343963623,16689.81912384033,0.6083282828330994,1300,0.0003,0.00726732,-2.234019208699465
132,80.5,28836,9,915.35160144,270336,-0.0036855949816526844,0.2,7744.36669921875,0.036083984375,0.7357265949249268,16941.66489562988,0.6002760529518127,1310,0.0003,0.00410714,-2.2143119648098946
