train/n_updates,train/learning_rate,time/total_timesteps,train/actor_loss,train/ent_coef_loss,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/ent_coef
612887,0.0003,213288,-341.98199462890625,0.2342311441898346,1960,8,23879,108.93,2306.80126953125,834.77001399,0.3882847726345062
613358,0.0003,213759,-297.36273193359375,-0.14014089107513428,1964,8,23931,109.36,653.4160766601562,835.8793477,0.3782118558883667
613729,0.0003,214130,-298.3421325683594,0.15829460322856903,1968,8,23974,109.06,1589.028564453125,820.4761851300001,0.37460798025131226
614204,0.0003,214605,-335.7551574707031,0.1912125051021576,1972,8,24027,109.75,1202.31298828125,819.8874991900001,0.37301525473594666
614539,0.0003,214940,-315.2916564941406,0.07611104846000671,1976,8,24065,109.21,1371.0234375,820.2265034799999,0.37896817922592163
614931,0.0003,215332,-258.65289306640625,0.18331357836723328,1980,8,24110,109.29,727.6793212890625,820.92502015,0.382972776889801
615311,0.0003,215712,-340.5019226074219,-0.21872282028198242,1984,8,24153,108.48,1394.17578125,822.8842783400002,0.3816283941268921
615701,0.0003,216102,-289.8201599121094,-0.19692480564117432,1988,8,24197,108.22,652.730224609375,823.01828687,0.37744006514549255
616183,0.0003,216584,-326.4848327636719,0.31412002444267273,1992,8,24250,108.69,643.454345703125,823.2406644899999,0.3632095456123352
616591,0.0003,216992,-280.41986083984375,0.27006155252456665,1996,8,24296,108.87,677.7496948242188,822.7637775899999,0.3705134987831116
616950,0.0003,217351,-323.9378662109375,0.17786267399787903,2000,8,24337,108.19,2180.753662109375,808.7231500600001,0.37614554166793823
617315,0.0003,217716,-305.3277282714844,0.08932614326477051,2004,8,24379,107.21,1141.916748046875,794.81203099,0.37636134028434753
617733,0.0003,218134,-346.6146240234375,-0.20079344511032104,2008,8,24426,107.29,889.0049438476562,793.5628842100002,0.37644824385643005
618150,0.0003,218551,-294.873779296875,0.13553979992866516,2012,8,24473,106.77,688.3341064453125,795.0444749899999,0.3799215853214264
618592,0.0003,218993,-286.61614990234375,0.5464525818824768,2016,8,24523,106.26,1031.36865234375,796.3402185799999,0.37169307470321655
619057,0.0003,219458,-293.19940185546875,0.04697378724813461,2020,8,24575,106.3,936.7037353515625,795.6508552600001,0.3798917531967163
619527,0.0003,219928,-273.88873291015625,0.12163552641868591,2024,8,24627,107.27,979.1609497070312,809.6606400900001,0.3733294606208801
620017,0.0003,220418,-314.49005126953125,0.17206883430480957,2028,8,24681,107.55,797.6535034179688,809.35119453,0.3751224875450134
620367,0.0003,220768,-286.256591796875,0.10249493271112442,2032,8,24721,106.06,1162.881103515625,811.33468657,0.3708970844745636
620835,0.0003,221236,-306.99676513671875,-0.024034082889556885,2036,8,24773,106.11,1462.6453857421875,810.75421449,0.37690889835357666
621247,0.0003,221648,-281.0181579589844,0.19872546195983887,2040,8,24820,105.78,708.072021484375,811.93293779,0.3759192228317261
621664,0.0003,222065,-294.4951171875,-0.13913924992084503,2044,8,24867,104.49,868.8428955078125,814.7384334800001,0.3785797357559204
622101,0.0003,222502,-288.72418212890625,0.014819785952568054,2048,8,24916,104.47,968.716552734375,814.21561557,0.38350486755371094
622515,0.0003,222916,-312.7675476074219,0.0898413434624672,2052,8,24962,105.01,821.3214721679688,813.57245797,0.3818188011646271
622822,0.0003,223223,-305.596923828125,-0.17447760701179504,2056,8,24998,104.31,2732.979736328125,830.7201816599998,0.3866605758666992
623224,0.0003,223625,-304.30157470703125,0.2892616391181946,2060,8,25044,103.37,752.5806884765625,848.15699073,0.3832521438598633
623706,0.0003,224107,-308.1370849609375,-0.28592705726623535,2064,8,25097,103.48,1017.335205078125,847.1445046900001,0.38552364706993103
624144,0.0003,224545,-308.7787780761719,0.06807827949523926,2068,8,25146,104.15,1475.96484375,845.9958960800001,0.3676995635032654
624536,0.0003,224937,-311.84539794921875,0.022666290402412415,2072,8,25191,103.32,845.8724365234375,847.6233952900001,0.38170868158340454
624965,0.0003,225366,-291.0199890136719,0.07735973596572876,2076,8,25239,104.26,1102.753173828125,847.22553069,0.3737950026988983
625306,0.0003,225707,-329.8898010253906,0.015657830983400345,2080,8,25278,103.75,1081.634765625,847.1108819000001,0.3702353835105896
625768,0.0003,226169,-298.9301452636719,-0.05892873555421829,2084,8,25330,104.57,834.0616455078125,844.8754401,0.37329551577568054
