time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,train/std,train/learning_rate,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/entropy_loss
129024,276.71618146,13866,189.31,63,9,0.6590436697006226,0.0003,0.2,0.9160136058926582,4164.3837890625,0.02119140625,4050,-0.0044113131443737075,4383.231951332093,0.0024418863,-2.0012558992952107
131072,292.76159765,14092,173.84,64,9,0.6574767827987671,0.0003,0.2,0.9414690546691418,1272.0458984375,0.056640625,4060,-0.010407166817458346,3202.3349430084227,0.005888909,-1.9976264379918576
133120,268.35325398000003,14318,162.19,65,9,0.6578258275985718,0.0003,0.2,0.9075732976198196,1533.6839599609375,0.04482421875,4070,-0.00750522397866007,6505.418817138672,0.005557939,-1.9948362451046706
135168,328.44667653,14543,162.2,66,9,0.6563100814819336,0.0003,0.2,0.9173410907387733,2192.112548828125,0.012744140625,4080,-0.0046422236162470655,7774.228340911865,0.002861037,-1.9936172854155303
137216,361.05082906999996,14768,147.25,67,9,0.6564581394195557,0.0003,0.2,0.9364256486296654,688.2157592773438,0.032373046875,4090,-0.00792589486518409,4994.055331420898,0.005091521,-1.9910739403218032
139264,376.83915684,14992,143.68,68,9,0.6566144227981567,0.0003,0.2,0.9329856187105179,950.9593505859375,0.04453125,4100,-0.0073513920113327915,3544.324736213684,0.0032053352,-1.9917012207210063
141312,379.23669606000004,15215,140.95,69,9,0.6589370965957642,0.0003,0.2,0.9043876379728317,1627.7818603515625,0.031005859375,4110,-0.008398272353224457,4444.913262557983,0.004215668,-1.9949056338518858
143360,458.99719332,15442,136.97,70,9,0.6596253514289856,0.0003,0.2,0.9530418887734413,447.3288269042969,0.050341796875,4120,-0.006702424465038348,2001.4163818359375,0.006959581,-2.000003733113408
145408,422.29021629999994,15660,144.05,71,9,0.6606812477111816,0.0003,0.2,0.9246433675289154,1180.4630126953125,0.01728515625,4130,-0.0067385148664470765,5148.631023788452,0.003435783,-2.001759492605925
147456,428.21576278,15872,152.04,72,9,0.6621274948120117,0.0003,0.2,0.7564477920532227,1668.246826171875,0.00712890625,4140,-0.0038688183267368004,9871.105262756348,0.0020057652,-2.005678176879883
149504,428.85973251999997,16094,161.53,73,9,0.6597577333450317,0.0003,0.2,0.7811566740274429,1021.578857421875,0.026611328125,4150,-0.00851548619393725,3309.397518539429,0.005374019,-2.0049150243401526
151552,398.42314526,16310,172.74,74,9,0.6578942537307739,0.0003,0.2,0.9017749056220055,737.942138671875,0.043896484375,4160,-0.008302385720890015,5198.846227264405,0.004994576,-1.9981173176318408
