time/fps,rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
9,0.05,620,11206,104238,-310.99597313999993,142.99,0.698014497756958,0.0001,176059
9,0.05,624,11242,104546,-289.54554285,142.57,0.6763099431991577,0.0001,176136
9,0.05,628,11377,105841,-306.48411507,140.37,0.5045425295829773,0.0001,176460
9,0.05,632,11508,107099,-306.73106361,150.07,0.7952491044998169,0.0001,176774
9,0.05,636,11539,107361,-322.37556312999993,148.58,0.8648149967193604,0.0001,176840
9,0.05,640,11604,107959,-336.14259576000006,150.25,0.7018440961837769,0.0001,176989
9,0.05,644,11656,108426,-368.76832322,147.71,0.6580820679664612,0.0001,177106
9,0.05,648,11694,108760,-329.6217276500001,145.97,0.8337645530700684,0.0001,177189
9,0.05,652,11761,109376,-349.1604246499999,147.93,12.565271377563477,0.0001,177343
9,0.05,656,11856,110279,-300.84559142000006,150.38,0.7052345275878906,0.0001,177569
9,0.05,660,11897,110630,-298.03005884000004,149.17,0.4296278953552246,0.0001,177657
9,0.05,664,11954,111158,-304.72035780000004,150.07,10.90283489227295,0.0001,177789
9,0.05,668,12047,112034,-282.75678865,153.19,47.08604049682617,0.0001,178008
9,0.05,672,12093,112449,-243.17346719,149.36,0.7189042568206787,0.0001,178112
9,0.05,676,12153,113001,-209.13245547000002,149.27,0.4334275424480438,0.0001,178250
9,0.05,680,12200,113420,-220.26872118000003,147.65,0.6169359683990479,0.0001,178354
9,0.05,684,12240,113775,-202.00549739000004,148.11,0.7258987426757812,0.0001,178443
9,0.05,688,12288,114203,-196.27948333999996,142.4,0.7766844034194946,0.0001,178550
9,0.05,692,12396,115227,-240.57456465000004,149.72,0.8080253601074219,0.0001,178806
9,0.05,696,12489,116113,-241.29529433999997,152.93,0.7602344751358032,0.0001,179028
9,0.05,700,12574,116915,-283.69838567000005,154.05,0.6474645137786865,0.0001,179228
