time/time_elapsed,train/actor_loss,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,train/n_updates,time/fps,time/episodes,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss
15288,-9.995521545410156,0.17208272218704224,200.19821166992188,357.3832965800001,942693,9,768,0.0003,188.49,142994,0.04102679342031479
15334,-37.062252044677734,0.17055992782115936,168.83682250976562,349.7967559599999,943100,9,772,0.0003,185.79,143401,-0.041013240814208984
15401,-35.152889251708984,0.17372053861618042,226.0253143310547,350.08426934999994,943720,9,776,0.0003,185.28,144021,0.22266820073127747
15459,-21.587617874145508,0.17052237689495087,564.384033203125,371.71497612,944242,9,780,0.0003,183.45,144543,0.7528611421585083
15542,-31.184814453125,0.17135125398635864,360.5517578125,353.05977634000004,945022,9,784,0.0003,184.21,145323,0.13441883027553558
15601,-12.75728988647461,0.1723247915506363,207.38577270507812,356.29694880000005,945567,9,788,0.0003,182.09,145868,0.24665993452072144
15683,-29.847759246826172,0.17371246218681335,1737.13720703125,367.37455109,946336,9,792,0.0003,184.08,146637,0.2398686558008194
15740,4.17515754699707,0.16646571457386017,207.24237060546875,363.6385866300001,946857,9,796,0.0003,180.32,147158,0.11207559704780579
15805,-45.42073059082031,0.16262942552566528,169.65989685058594,338.12612551999996,947453,9,800,0.0003,179.28,147754,0.2994542717933655
15876,-20.3969783782959,0.16745144128799438,330.0751953125,335.78404948,948110,9,804,0.0003,179.95,148411,-0.28061431646347046
15964,-52.78227233886719,0.17154546082019806,317.73388671875,338.74254313000006,948940,9,808,0.0003,179.86,149241,0.3060404658317566
16040,-49.931549072265625,0.17493756115436554,209.3819580078125,324.56457746,949649,9,812,0.0003,179.28,149950,0.17690470814704895
16078,-40.36912536621094,0.17648553848266602,182.23013305664062,353.11071582,949972,9,816,0.0003,174.49,150273,0.3813087046146393
16118,-20.83063507080078,0.17537087202072144,402.5022277832031,373.44202499,950324,9,820,0.0003,167.6,150625,-0.1004498302936554
16186,-16.787609100341797,0.1745309829711914,190.83425903320312,383.41783941999995,950951,9,824,0.0003,163.53,151252,-0.007745862007141113
16246,-52.434532165527344,0.17729103565216064,307.5589904785156,382.76003425000005,951498,9,828,0.0003,163.26,151799,0.1110905259847641
16325,24.823169708251953,0.17738938331604004,452.86431884765625,378.06140709,952240,9,832,0.0003,164.26,152541,-0.16782158613204956
16394,-5.741340637207031,0.17994475364685059,123.30789184570312,388.88227337000006,952881,9,836,0.0003,161.26,153182,0.009681802242994308
16450,-59.933780670166016,0.18144994974136353,222.94020080566406,393.33300370999996,953388,9,840,0.0003,155.06,153689,-0.1239403784275055
